numnodes,occur,cum,perc
1,360,360,0.0016764771626555399
2,395,755,0.003515945160569257
3,956,1711,0.00796792340362119
4,31190,32901,0.1532160420236942
5,579,33480,0.1559123761269652
6,10704,44184,0.20575963042992326
7,1232,45416,0.2114969078310111
8,8048,53464,0.24897548617837717
9,12480,65944,0.3070933611504359
10,33618,99562,0.46364838685641907
11,2858,102420,0.47695775277550106
12,3897,106317,0.4951056180612473
13,22782,129099,0.6011986811712987
14,68865,197964,0.9218947917442813
15,766,198730,0.9254619625959317
16,440,199170,0.9275109902391774
17,1400,200570,0.9340306236495045
18,1260,201830,0.9398982937187988
19,767,202597,0.9434701214514567
20,1126,203723,0.9487137694657626
21,875,204598,0.952788540347217
22,648,205246,0.955806199239997
23,749,205995,0.9592942031145221
24,2290,208285,0.9699584606214142
25,66,208351,0.9702658147679011
26,31,208382,0.9704101780791298
27,372,208754,0.9721425378138738
28,1128,209882,0.9773954995901944
29,1092,210974,0.9824808136502496
30,32,211006,0.9826298338424857
31,37,211043,0.9828021384397586
32,68,211111,0.9831188063482602
33,355,211466,0.9847719991058789
34,286,211752,0.9861038670739886
35,53,211805,0.9863506817673795
36,25,211830,0.9864671037925639
37,60,211890,0.9867465166530065
38,253,212143,0.9879247075478728
39,71,212214,0.9882553460993965
40,15,212229,0.9883251993145071
41,959,213188,0.9927911482005812
42,12,213200,0.9928470307726697
43,87,213287,0.9932521794203114
44,13,213300,0.9933127188734073
45,90,213390,0.9937318381640712
46,30,213420,0.9938715445942925
47,23,213443,0.9939786528574622
48,18,213461,0.994062476715595
49,8,213469,0.994099731763654
50,10,213479,0.9941463005737278
51,24,213503,0.9942580657179048
52,44,213547,0.9944629684822294
53,26,213573,0.9945840473884211
54,41,213614,0.9947749795097236
55,11,213625,0.9948262052008047
56,10,213635,0.9948727740108785
57,3,213638,0.9948867446539006
58,12,213650,0.9949426272259891
59,6,213656,0.9949705685120334
60,24,213680,0.9950823336562105
61,19,213699,0.9951708143953506
62,2,213701,0.9951801281573653
63,2,213703,0.9951894419193801
64,12,213715,0.9952453244914686
65,5,213720,0.9952686088965055
66,13,213733,0.9953291483496014
67,36,213769,0.9954967960658669
68,15,213784,0.9955666492809776
69,7,213791,0.9955992474480292
70,6,213797,0.9956271887340735
71,5,213802,0.9956504731391104
72,4,213806,0.9956691006631398
73,3,213809,0.995683071306162
74,25,213834,0.9957994933313464
75,2,213836,0.9958088070933612
76,6,213842,0.9958367483794054
77,14,213856,0.9959019447135087
78,2,213858,0.9959112584755234
79,2,213860,0.9959205722375382
80,3,213863,0.9959345428805603
81,47,213910,0.996153416287907
82,2,213912,0.9961627300499217
83,1,213913,0.9961673869309291
84,20,213933,0.9962605245510767
85,6,213939,0.9962884658371209
86,1,213940,0.9962931227181283
87,3,213943,0.9963070933611504
88,18,213961,0.9963909172192832
89,1,213962,0.9963955741002906
90,5,213967,0.9964188585053275
91,7,213974,0.9964514566723791
92,2,213976,0.9964607704343938
93,1,213977,0.9964654273154012
94,3,213980,0.9964793979584233
95,25,214005,0.9965958199836078
96,2,214007,0.9966051337456225
97,4,214011,0.996623761269652
99,2,214013,0.9966330750316668
100,1,214014,0.9966377319126741
101,5,214019,0.9966610163177111
102,20,214039,0.9967541539378586
103,3,214042,0.9967681245808807
104,1,214043,0.9967727814618881
106,15,214058,0.9968426346769987
107,28,214086,0.9969730273452053
108,2,214088,0.9969823411072201
109,6,214094,0.9970102823932643
110,4,214098,0.9970289099172938
112,5,214103,0.9970521943223307
113,1,214104,0.9970568512033381
114,4,214108,0.9970754787273676
115,1,214109,0.9970801356083749
116,4,214113,0.9970987631324044
118,5,214118,0.9971220475374413
120,5,214123,0.9971453319424782
121,1,214124,0.9971499888234856
123,3,214127,0.9971639594665077
124,1,214128,0.9971686163475151
125,2,214130,0.9971779301095298
126,1,214131,0.9971825869905372
128,3,214134,0.9971965576335593
134,1,214135,0.9972012145145667
137,4,214139,0.9972198420385963
138,4,214143,0.9972384695626257
140,1,214144,0.9972431264436331
143,2,214146,0.9972524402056478
146,1,214147,0.9972570970866552
147,3,214150,0.9972710677296773
148,3,214153,0.9972850383726996
149,38,214191,0.9974619998509798
150,1,214192,0.9974666567319872
151,1,214193,0.9974713136129946
152,5,214198,0.9974945980180314
154,17,214215,0.9975737649951568
156,1,214216,0.9975784218761642
158,4,214220,0.9975970494001938
159,1,214221,0.9976017062812012
163,1,214222,0.9976063631622085
168,5,214227,0.9976296475672454
169,1,214228,0.9976343044482527
172,1,214229,0.9976389613292601
175,2,214231,0.9976482750912748
187,1,214232,0.9976529319722822
190,3,214235,0.9976669026153043
197,1,214236,0.9976715594963117
198,10,214246,0.9977181283063855
201,78,214324,0.9980813650249609
203,49,214373,0.9983095521943224
204,6,214379,0.9983374934803666
211,1,214380,0.998342150361374
215,1,214381,0.9983468072423813
231,15,214396,0.998416660457492
248,1,214397,0.9984213173384994
249,3,214400,0.9984352879815215
251,2,214402,0.9984446017435362
252,1,214403,0.9984492586245436
259,1,214404,0.998453915505551
261,90,214494,0.9988730347962149
262,3,214497,0.998887005439237
266,6,214503,0.9989149467252812
267,1,214504,0.9989196036062886
282,14,214518,0.9989847999403919
283,4,214522,0.9990034274644214
286,1,214523,0.9990080843454288
306,1,214524,0.9990127412264361
317,9,214533,0.9990546531555026
319,1,214534,0.9990593100365099
320,18,214552,0.9991431338946427
322,18,214570,0.9992269577527755
329,1,214571,0.9992316146337828
332,2,214573,0.9992409283957976
334,1,214574,0.999245585276805
339,1,214575,0.9992502421578123
341,1,214576,0.9992548990388198
344,1,214577,0.9992595559198272
350,2,214579,0.9992688696818419
369,1,214580,0.9992735265628493
406,16,214596,0.9993480366589673
411,1,214597,0.9993526935399747
435,1,214598,0.9993573504209821
446,2,214600,0.9993666641829968
459,1,214601,0.9993713210640042
487,1,214602,0.9993759779450115
544,1,214603,0.9993806348260189
547,1,214604,0.9993852917070263
560,2,214606,0.999394605469041
578,2,214608,0.9994039192310558
631,15,214623,0.9994737724461664
676,1,214624,0.9994784293271738
679,1,214625,0.9994830862081812
726,1,214626,0.9994877430891886
837,1,214627,0.999492399970196
856,1,214628,0.9994970568512034
859,1,214629,0.9995017137322108
880,1,214630,0.9995063706132181
884,1,214631,0.9995110274942255
922,2,214633,0.9995203412562402
937,1,214634,0.9995249981372476
989,1,214635,0.999529655018255
992,1,214636,0.9995343118992623
1184,1,214637,0.9995389687802697
1192,3,214640,0.9995529394232918
1195,1,214641,0.9995575963042992
1222,1,214642,0.9995622531853066
1447,3,214645,0.9995762238283288
1514,1,214646,0.9995808807093362
1579,8,214654,0.9996181357573951
1733,3,214657,0.9996321064004172
1865,1,214658,0.9996367632814246
1940,1,214659,0.999641420162432
2008,3,214662,0.9996553908054542
2145,2,214664,0.9996647045674689
2148,1,214665,0.9996693614484763
2264,1,214666,0.9996740183294837
2294,5,214671,0.9996973027345205
2437,2,214673,0.9997066164965352
2475,1,214674,0.9997112733775426
2478,1,214675,0.99971593025855
2481,1,214676,0.9997205871395574
2486,1,214677,0.9997252440205648
2580,8,214685,0.9997624990686238
2656,2,214687,0.9997718128306385
2832,1,214688,0.9997764697116459
2835,1,214689,0.9997811265926533
2838,1,214690,0.9997857834736606
3140,1,214691,0.999790440354668
3219,2,214693,0.9997997541166828
3222,1,214694,0.9998044109976902
3581,2,214696,0.999813724759705
3624,2,214698,0.9998230385217197
3630,2,214700,0.9998323522837345
4010,2,214702,0.9998416660457492
4047,2,214704,0.9998509798077639
4050,1,214705,0.9998556366887713
4053,1,214706,0.9998602935697787
4307,1,214707,0.999864950450786
7706,2,214709,0.9998742642128008
7882,1,214710,0.9998789210938082
8025,1,214711,0.9998835779748156
10231,1,214712,0.999888234855823
13745,1,214713,0.9998928917368304
19465,3,214716,0.9999068623798525
28630,3,214719,0.9999208330228746
57298,3,214722,0.9999348036658967
114638,3,214725,0.9999487743089188
229322,3,214728,0.999962744951941
458694,4,214732,0.9999813724759705
917442,4,214736,1.0
